Name,Old_Name,Entrez_Symbol,Entrez_symbol_from_nomenclature_authority,Entrez_full_name_from_NA,Gene,HGNC_name,HGNC_prev_name,HGNC_alias_name,HGNC_alias_symbol,uniprot_recommended_name,uniprot_alternative_names,uniprot_gene_names,uniprot_gene_synonyms,NCBI_nomenclaturename,NCBI_otheraliases
"""HSER""","""HSER""","""GUCY2C""","""GUCY2C""","""guanylate cyclase 2C (heat stable enterotoxin receptor)""","""GUCY2C""","""guanylate cyclase 2C""","""guanylate cyclase 2C (heat stable enterotoxin receptor)""","""STA receptor"", ""heat stable enterotoxin receptor"", ""Guanylyl cyclase C""","""STAR"", ""HSER"", ""GC-C"", ""GCC""","""Guanylyl cyclase C""","""Heat-stable enterotoxin receptor"", ""Intestinal guanylate cyclase""","""GUCY2C""","""GUC2C"", ""STAR""","""guanylate cyclase 2C""","""DIAR6"", ""GC-C"", ""GCC"", ""GUC2C"", ""HSER"", ""MECIL"", ""MUCIL"", ""STAR"""
"""CYGF""","""CYGF""","""GUCY2F""","""GUCY2F""","""guanylate cyclase 2F, retinal""","""GUCY2F""","""guanylate cyclase 2F, retinal""",,"""guanylate cyclase 2D-like, membrane (retina-specific)""","""GUC2DL"", ""GC-F"", ""RetGC-2"", ""ROS-GC2"", ""CYGF""","""Retinal guanylyl cyclase 2""","""Guanylate cyclase 2F, retinal"", ""Guanylate cyclase F"", ""Rod outer segment membrane guanylate cyclase 2""","""GUCY2F""","""GUC2F"", ""RETGC2""","""guanylate cyclase 2F, retinal""","""CYGF"", ""GC-F"", ""GUC2DL"", ""GUC2F"", ""RETGC-2"", ""ROS-GC2"""
"""CYGD""","""CYGD""","""GUCY2D""","""GUCY2D""","""guanylate cyclase 2D, membrane (retina-specific)""","""GUCY2D""","""guanylate cyclase 2D, retinal""","""cone rod dystrophy 6"", ""guanylate cyclase 2D, membrane (retina-specific)""","""rod outer segment membrane guanylate cyclase"", ""retinal guanylate cyclase 1"", ""Leber congenital amaurosis 1""","""retGC"", ""RETGC-1"", ""ROS-GC1"", ""CYGD"", ""LCA1"", ""ROS-GC""","""Retinal guanylyl cyclase 1""","""CG-E"", ""Guanylate cyclase 2D, retinal"", ""Rod outer segment membrane guanylate cyclase""","""GUCY2D""","""CORD6"", ""GUC1A4"", ""GUC2D"", ""RETGC"", ""RETGC1""","""guanylate cyclase 2D, retinal""","""CACD"", ""CACD1"", ""CG-E"", ""CORD5"", ""CORD6"", ""CSNB1I"", ""CYGD"", ""GUC1A4"", ""GUC2D"", ""LCA"", ""LCA1"", ""RCD2"", ""RETGC-1"", ""ROS-GC1"", ""ROSGC"", ""retGC"""
"""ANPa""","""ANPa""","""NPR1""","""NPR1""","""natriuretic peptide receptor A/guanylate cyclase A (atrionatriuretic peptide receptor A)""","""NPR1""","""natriuretic peptide receptor 1""","""atrionatriuretic peptide receptor A"", ""natriuretic peptide receptor A""","""guanylate cyclase A""","""GUCY2A"", ""ANPa""","""Atrial natriuretic peptide receptor 1""","""Atrial natriuretic peptide receptor type A"", ""Guanylate cyclase A""","""NPR1""","""ANPRA""","""natriuretic peptide receptor 1""","""ANPRA"", ""ANPa"", ""GUC2A"", ""GUCY2A"", ""NPRA"""
"""ANPb""","""ANPb""","""NPR2""","""NPR2""","""natriuretic peptide receptor B/guanylate cyclase B (atrionatriuretic peptide receptor B)""","""NPR2""","""natriuretic peptide receptor 2""","""acromesomelic dysplasia, Maroteaux type"", ""atrionatriuretic peptide receptor B"", ""natriuretic peptide receptor B""","""guanylate cyclase 2B"", ""guanylyl cyclase B""","""GUCY2B"", ""ANPb"", ""GC-B""","""Atrial natriuretic peptide receptor 2""","""Atrial natriuretic peptide receptor type B"", ""Guanylate cyclase B""","""NPR2""","""ANPRB""","""natriuretic peptide receptor 2""","""AMD1"", ""AMDM"", ""ANPRB"", ""ANPb"", ""ECDM"", ""GC-B"", ""GCB"", ""GUC2B"", ""GUCY2B"", ""NPRB"", ""NPRBi"", ""SNSK"""
"""MAP3K5""","""MAP3K5""","""MAP3K5""","""MAP3K5""","""mitogen-activated protein kinase kinase kinase 5""","""MAP3K5""","""mitogen-activated protein kinase kinase kinase 5""",,"""apoptosis signal regulating kinase 1""","""MAPKKK5"", ""ASK1""","""Mitogen-activated protein kinase kinase kinase 5""","""Apoptosis signal-regulating kinase 1"", ""MAPK/ERK kinase kinase 5""","""MAP3K5""","""ASK1"", ""MAPKKK5"", ""MEKK5""","""mitogen-activated protein kinase kinase kinase 5""","""ASK1"", ""MAPKKK5"", ""MEKK5"""
"""MAP3K6""","""MAP3K6""","""MAP3K6""","""MAP3K6""","""mitogen-activated protein kinase kinase kinase 6""","""MAP3K6""","""mitogen-activated protein kinase kinase kinase 6""",,"""apoptosis signal regulating kinase 2""","""MAPKKK6"", ""ASK2"", ""MEKK6""","""Mitogen-activated protein kinase kinase kinase 6""","""Apoptosis signal-regulating kinase 2""","""MAP3K6""","""ASK2"", ""MAPKKK6"", ""MEKK6""","""mitogen-activated protein kinase kinase kinase 6""","""ASK2"", ""MAPKKK6"", ""MEKK6"""
"""MAP3K7""","""MAP3K7""","""MAP3K15""","""MAP3K15""","""mitogen-activated protein kinase kinase kinase 15""","""MAP3K15""","""mitogen-activated protein kinase kinase kinase 15""",,,"""bA723P2.3"", ""FLJ16518"", ""ASK3""","""Mitogen-activated protein kinase kinase kinase 15""","""Apoptosis signal-regulating kinase 3"", ""MAPK/ERK kinase kinase 15""","""MAP3K15""","""ASK3""","""mitogen-activated protein kinase kinase kinase 15""","""ASK3"", ""bA723P2.3"""
"""MAP3K1""","""MAP3K1""","""MAP3K1""","""MAP3K1""","""mitogen-activated protein kinase kinase kinase 1""","""MAP3K1""","""mitogen-activated protein kinase kinase kinase 1""","""MEKK1""",,"""MEKK"", ""MAPKKK1""","""Mitogen-activated protein kinase kinase kinase 1""","""MAPK/ERK kinase kinase 1""","""MAP3K1""","""MAPKKK1"", ""MEKK"", ""MEKK1""","""mitogen-activated protein kinase kinase kinase 1""","""MAPKKK1"", ""MEKK"", ""MEKK 1"", ""MEKK1"", ""SRXY6"""
"""MAP3K8""","""MAP3K8""","""YSK4""","""YSK4""","""yeast Sps1/Ste20-related kinase 4 (S. cerevisiae)""","""YSK4""",,,,,"""Mitogen-activated protein kinase kinase kinase 19""","""Regulated in COPD, protein kinase"", ""SPS1/STE20-related protein kinase YSK4""","""MAP3K19""","""RCK"", ""YSK4""",,
"""MAP3K3""","""MAP3K3""","""MAP3K3""","""MAP3K3""","""mitogen-activated protein kinase kinase kinase 3""","""MAP3K3""","""mitogen-activated protein kinase kinase kinase 3""",,"""MAPK/ERK kinase kinase 3""","""MAPKKK3""","""Mitogen-activated protein kinase kinase kinase 3""","""MAPK/ERK kinase kinase 3""","""MAP3K3""","""MAPKKK3"", ""MEKK3""","""mitogen-activated protein kinase kinase kinase 3""","""CCM5"", ""MAPKKK3"", ""MEKK3"""
"""MAP3K2""","""MAP3K2""","""MAP3K2""","""MAP3K2""","""mitogen-activated protein kinase kinase kinase 2""","""MAP3K2""","""mitogen-activated protein kinase kinase kinase 2""",,"""MAP/ERK kinase kinase 2""","""MEKK2B""","""Mitogen-activated protein kinase kinase kinase 2""","""MAPK/ERK kinase kinase 2""","""MAP3K2""","""MAPKKK2"", ""MEKK2""","""mitogen-activated protein kinase kinase kinase 2""","""MEKK2"", ""MEKK2B"""
"""MAP3K4""","""MAP3K4""","""MAP3K4""","""MAP3K4""","""mitogen-activated protein kinase kinase kinase 4""","""MAP3K4""","""mitogen-activated protein kinase kinase kinase 4""",,,"""MTK1"", ""MAPKKK4"", ""KIAA0213""","""Mitogen-activated protein kinase kinase kinase 4""","""MAP three kinase 1"", ""MAPK/ERK kinase kinase 4""","""MAP3K4""","""KIAA0213"", ""MAPKKK4"", ""MEKK4"", ""MTK1""","""mitogen-activated protein kinase kinase kinase 4""","""MAPKKK4"", ""MEKK 4"", ""MEKK4"", ""MTK1"", ""PRO0412"""
"""OSR1""","""OSR1""","""OXSR1""","""OXSR1""","""oxidative-stress responsive 1""","""OXSR1""","""oxidative stress responsive kinase 1""","""oxidative-stress responsive 1""",,"""KIAA1101""","""Serine/threonine-protein kinase OSR1""","""Oxidative stress-responsive 1 protein""","""OXSR1""","""KIAA1101"", ""OSR1""","""oxidative stress responsive kinase 1""","""OSR1"""
"""STLK3""","""STLK3""","""STK39""","""STK39""","""serine threonine kinase 39 (STE20/SPS1 homolog, yeast)""","""STK39""","""serine/threonine kinase 39""","""serine threonine kinase 39""","""STE20/SPS1 homolog (yeast)""","""DCHT"", ""SPAK""","""STE20/SPS1-related proline-alanine-rich protein kinase""","""DCHT"", ""Serine/threonine-protein kinase 39""","""STK39""","""PASK"", ""SPAK""","""serine/threonine kinase 39""","""DCHT"", ""PASK"", ""SPAK"""
"""GCK""","""GCK""","""MAP4K2""","""MAP4K2""","""mitogen-activated protein kinase kinase kinase kinase 2""","""MAP4K2""","""mitogen-activated protein kinase kinase kinase kinase 2""",,,"""GCK"", ""BL44""","""Mitogen-activated protein kinase kinase kinase kinase 2""","""B lymphocyte serine/threonine-protein kinase"", ""Germinal center kinase"", ""MAPK/ERK kinase kinase kinase 2"", ""Rab8-interacting protein""","""MAP4K2""","""GCK"", ""RAB8IP""","""mitogen-activated protein kinase kinase kinase kinase 2""","""BL44"", ""GCK"", ""RAB8IP"""
"""KHS2""","""KHS2""","""MAP4K3""","""MAP4K3""","""mitogen-activated protein kinase kinase kinase kinase 3""","""MAP4K3""","""mitogen-activated protein kinase kinase kinase kinase 3""",,,"""GLK"", ""MAPKKKK3""","""Mitogen-activated protein kinase kinase kinase kinase 3""","""Germinal center kinase-related protein kinase"", ""MAPK/ERK kinase kinase kinase 3""","""MAP4K3""","""RAB8IPL1""","""mitogen-activated protein kinase kinase kinase kinase 3""","""GLK"", ""MAPKKKK3"", ""MEKKK 3"", ""MEKKK3"", ""RAB8IPL1"""
"""KHS1""","""KHS1""","""MAP4K5""","""MAP4K5""","""mitogen-activated protein kinase kinase kinase kinase 5""","""MAP4K5""","""mitogen-activated protein kinase kinase kinase kinase 5""",,"""germinal center kinase-related""","""KHS1"", ""GCKR"", ""KHS""","""Mitogen-activated protein kinase kinase kinase kinase 5""","""Kinase homologous to SPS1/STE20"", ""MAPK/ERK kinase kinase kinase 5""","""MAP4K5""",,"""mitogen-activated protein kinase kinase kinase kinase 5""","""GCKR"", ""KHS"", ""KHS1"", ""MAPKKKK5"""
"""HPK1""","""HPK1""","""MAP4K1""","""MAP4K1""","""mitogen-activated protein kinase kinase kinase kinase 1""","""MAP4K1""","""mitogen-activated protein kinase kinase kinase kinase 1""",,"""hematopoietic progenitor kinase 1""","""HPK1""","""Mitogen-activated protein kinase kinase kinase kinase 1""","""Hematopoietic progenitor kinase"", ""MAPK/ERK kinase kinase kinase 1""","""MAP4K1""","""HPK1""","""mitogen-activated protein kinase kinase kinase kinase 1""","""HPK1"""
"""HGK""","""HGK""","""MAP4K4""","""MAP4K4""","""mitogen-activated protein kinase kinase kinase kinase 4""","""MAP4K4""","""mitogen-activated protein kinase kinase kinase kinase 4""",,"""HPK/GCK-like kinase"", ""hepatocyte progenitor kinase-like/germinal center kinase-like kinase""","""HGK"", ""NIK"", ""FLH21957""","""Mitogen-activated protein kinase kinase kinase kinase 4""","""HPK/GCK-like kinase HGK"", ""MAPK/ERK kinase kinase kinase 4"", ""Nck-interacting kinase""","""MAP4K4""","""HGK"", ""KIAA0687"", ""NIK""","""mitogen-activated protein kinase kinase kinase kinase 4""","""FLH21957"", ""HEL-S-31"", ""HGK"", ""MEKKK4"", ""NIK"""
"""TNIK""","""TNIK""","""TNIK""","""TNIK""","""TRAF2 and NCK interacting kinase""","""TNIK""","""TRAF2 and NCK interacting kinase""",,,"""KIAA0551""","""TRAF2 and NCK-interacting protein kinase""",,"""TNIK""","""KIAA0551""","""TRAF2 and NCK interacting kinase""","""MRT54"""
"""NRK""","""NRK""","""NRK""","""NRK""","""Nik related kinase""","""NRK""","""Nik related kinase""",,,"""DKFZp686A17109""","""Nik-related protein kinase""",,"""NRK""",,"""Nik related kinase""","""NESK"""
"""MINK""","""MINK""","""MINK1""","""MINK1""","""misshapen-like kinase 1 (zebrafish)""","""MINK1""","""misshapen like kinase 1""","""misshapen-like kinase 1 (zebrafish)"", ""misshapen-like kinase 1""","""misshapen/NIK-related kinase""","""B55"", ""MINK"", ""ZC3"", ""MAP4K6"", ""YSK2""","""Misshapen-like kinase 1""","""GCK family kinase MiNK"", ""MAPK/ERK kinase kinase kinase 6"", ""Misshapen/NIK-related kinase"", ""Mitogen-activated protein kinase kinase kinase kinase 6""","""MINK1""","""B55"", ""MAP4K6"", ""MINK"", ""YSK2"", ""ZC3""","""misshapen like kinase 1""","""B55"", ""MAP4K6"", ""MEKKK 6"", ""MINK"", ""YSK2"", ""ZC3"""
"""MST2""","""MST2""","""STK3""","""STK3""","""serine/threonine kinase 3 (STE20 homolog, yeast)""","""STK3""","""serine/threonine kinase 3""","""serine/threonine kinase 3 (Ste20, yeast homolog)""","""hippo (Drosophila) homolog""","""MST2"", ""KRS1""","""Serine/threonine-protein kinase 24""","""Mammalian STE20-like protein kinase 3"", ""STE20-like kinase MST3""","""STK24""","""MST3"", ""STK3""","""serine/threonine kinase 3""","""KRS1"", ""MST2"""
"""MST1""","""MST1""","""STK4""","""STK4""","""serine/threonine kinase 4""","""STK4""","""serine/threonine kinase 4""",,"""mammalian sterile 20-like 1"", ""yeast Ste20-like"", ""kinase responsive to stress 2"", ""hippo (Drosophila) homolog""","""MST1"", ""KRS2"", ""YSK3""","""Serine/threonine-protein kinase 4""","""Mammalian STE20-like protein kinase 1"", ""STE20-like kinase MST1"", ""Serine/threonine-protein kinase Krs-2""","""STK4""","""KRS2"", ""MST1""","""serine/threonine kinase 4""","""KRS2"", ""MST1"", ""YSK3"""
"""MYO3A""","""MYO3A""","""MYO3A""","""MYO3A""","""myosin IIIA""","""MYO3A""","""myosin IIIA""","""deafness, autosomal recessive 30""",,,"""Myosin-IIIa""",,"""MYO3A""",,"""myosin IIIA""","""DFNA90"", ""DFNB30"""
"""MYO3B""","""MYO3B""","""MYO3B""","""MYO3B""","""myosin IIIB""","""MYO3B""","""myosin IIIB""",,,,"""Myosin-IIIb""",,"""MYO3B""",,"""myosin IIIB""",
"""PAK1""","""PAK1""","""PAK1""","""PAK1""","""p21/Cdc42/Rac1-activated kinase 1 (STE20 homolog, yeast)""","""PAK1""","""p21 (RAC1) activated kinase 1""","""p21/Cdc42/Rac1-activated kinase 1 (yeast Ste20-related)"", ""p21/Cdc42/Rac1-activated kinase 1 (STE20 homolog, yeast)"", ""p21 protein (Cdc42/Rac)-activated kinase 1""","""STE20 homolog, yeast""",,"""Serine/threonine-protein kinase PAK 1""","""Alpha-PAK"", ""p21-activated kinase 1"", ""p65-PAK""","""PAK1""",,"""p21 (RAC1) activated kinase 1""","""IDDMSSD"", ""PAKalpha"", ""alpha-PAK"", ""p65-PAK"""
"""PAK2""","""PAK2""","""PAK2""","""PAK2""","""p21 (CDKN1A)-activated kinase 2""","""PAK2""","""p21 (RAC1) activated kinase 2""","""p21 (CDKN1A)-activated kinase 2"", ""p21 protein (Cdc42/Rac)-activated kinase 2""","""S6/H4 kinase""","""PAK65"", ""PAKgamma""","""Serine/threonine-protein kinase PAK 2""","""Gamma-PAK"", ""PAK65"", ""S6/H4 kinase"", ""p21-activated kinase 2"", ""p58""","""PAK2""",,"""p21 (RAC1) activated kinase 2""","""KNO2"", ""PAK65"", ""PAKgamma"""
"""PAK3""","""PAK3""","""PAK3""","""PAK3""","""p21 (CDKN1A)-activated kinase 3""","""PAK3""","""p21 (RAC1) activated kinase 3""","""mental retardation, X-linked 47"", ""p21 (CDKN1A)-activated kinase 3"", ""p21 protein (Cdc42/Rac)-activated kinase 3""",,"""hPAK3"", ""bPAK""","""Serine/threonine-protein kinase PAK 3""","""Beta-PAK"", ""Oligophrenin-3"", ""p21-activated kinase 3""","""PAK3""","""OPHN3""","""p21 (RAC1) activated kinase 3""","""ARA"", ""MRX30"", ""MRX47"", ""OPHN3"", ""PAK-3"", ""PAK3beta"", ""XLID30"", ""bPAK"", ""beta-PAK"""
"""PAK4""","""PAK4""","""PAK4""","""PAK4""","""p21(CDKN1A)-activated kinase 4""","""PAK4""","""p21 (RAC1) activated kinase 4""","""p21(CDKN1A)-activated kinase 4"", ""p21 protein (Cdc42/Rac)-activated kinase 4""",,,"""Serine/threonine-protein kinase PAK 4""","""p21-activated kinase 4""","""PAK4""","""KIAA1142""","""p21 (RAC1) activated kinase 4""",
"""PAK6""","""PAK6""","""PAK6""","""PAK6""","""p21(CDKN1A)-activated kinase 6""","""PAK6""","""p21 (RAC1) activated kinase 6""","""p21(CDKN1A)-activated kinase 6"", ""p21 protein (Cdc42/Rac)-activated kinase 6""",,"""PAK5""","""Serine/threonine-protein kinase PAK 6""","""PAK-5"", ""p21-activated kinase 6""","""PAK6""","""PAK5""","""p21 (RAC1) activated kinase 6""","""PAK5"""
"""PAK5""","""PAK5""","""PAK7""","""PAK7""","""p21(CDKN1A)-activated kinase 7""","""PAK7""",,,,,"""Serine/threonine-protein kinase PAK 5""","""p21-activated kinase 5"", ""p21-activated kinase 7""","""PAK5""","""KIAA1264"", ""PAK7""",,
"""LOK""","""LOK""","""STK10""","""STK10""","""serine/threonine kinase 10""","""STK10""","""serine/threonine kinase 10""",,"""lymphocyte-oriented kinase""","""LOK"", ""PRO2729""","""Serine/threonine-protein kinase 10""","""Lymphocyte-oriented kinase""","""STK10""","""LOK""","""serine/threonine kinase 10""","""LOK"", ""PRO2729"""
"""SLK""","""SLK""","""SLK""","""SLK""","""STE20-like kinase (yeast)""","""SLK""","""STE20 like kinase""","""SNF1 (sucrose nonfermenting, yeast, homolog)-like kinase, SNF1 sucrose nonfermenting like kinase (yeast)"", ""STE20-like kinase (yeast)"", ""STE20-like kinase""",,"""STK2"", ""se20-9"", ""KIAA0204""","""STE20-like serine/threonine-protein kinase""","""CTCL tumor antigen se20-9"", ""STE20-related serine/threonine-protein kinase"", ""Serine/threonine-protein kinase 2""","""SLK""","""KIAA0204"", ""STK2""","""STE20 like kinase""","""LOSK"", ""STK2"", ""bA16H23.1"", ""se20-9"""
"""STLK6""","""STLK6""","""ALS2CR2""","""ALS2CR2""","""amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 2""","""ALS2CR2""",,,,,"""STE20-related kinase adapter protein beta""","""Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 2 protein"", ""CALS-21"", ""ILP-interacting protein"", ""Pseudokinase ALS2CR2""","""STRADB""","""ALS2CR2"", ""ILPIP""",,"""CALS-21"""
"""STLK5""","""STLK5""","""LYK5""","""-""","""-""","""LYK5""",,,,,"""STE20-related kinase adapter protein alpha""","""STE20-related adapter protein"", ""Serologically defined breast cancer antigen NY-BR-96""","""STRADA""","""LYK5"", ""STRAD""",,
"""TAO2""","""TAO2""","""TAOK2""","""TAOK2""","""TAO kinase 2""","""TAOK2""","""TAO kinase 2""",,"""Serine/threonine-protein kinase TAO2"", ""Thousand and one amino acid protein kinase 2"", ""Kinase from chicken homolog C"", ""Prostate-derived sterile 20-like kinase 1""","""TAO1"", ""KIAA0881"", ""PSK"", ""PSK1"", ""TAO2"", ""MAP3K17"", ""hKFC-C"", ""PSK-1"", ""PSK1-BETA"", ""Tao2beta""","""Serine/threonine-protein kinase TAO2""","""Kinase from chicken homolog C"", ""Prostate-derived sterile 20-like kinase 1"", ""Thousand and one amino acid protein kinase 2""","""TAOK2""","""KIAA0881"", ""MAP3K17"", ""PSK"", ""PSK1""","""TAO kinase 2""","""MAP3K17"", ""PSK"", ""PSK1"", ""PSK1-BETA"", ""TAO1"", ""TAO2"", ""Tao2beta"""
"""TAO3""","""TAO3""","""TAOK3""","""TAOK3""","""TAO kinase 3""","""TAOK3""","""TAO kinase 3""",,,"""JIK"", ""DPK"", ""MAP3K18""","""Serine/threonine-protein kinase TAO3""","""Cutaneous T-cell lymphoma-associated antigen HD-CL-09"", ""Dendritic cell-derived protein kinase"", ""JNK/SAPK-inhibitory kinase"", ""Jun kinase-inhibitory kinase"", ""Kinase from chicken homolog A"", ""Thousand and one amino acid protein 3""","""TAOK3""","""DPK"", ""JIK"", ""KDS"", ""MAP3K18""","""TAO kinase 3""","""DPK"", ""JIK"", ""MAP3K18"", ""hKFC-A"""
"""TAO1""","""TAO1""","""TAOK1""","""TAOK1""","""TAO kinase 1""","""TAOK1""","""TAO kinase 1""",,"""prostate-derived sterile 20-like kinase 2"", ""MARK kinase"", ""thousand and one amino acid protein kinase 1""","""KIAA1361"", ""MARKK"", ""PSK2"", ""MAP3K16"", ""FLJ14314"", ""TAO1"", ""hTAOK1"", ""hKFC-B""","""Serine/threonine-protein kinase TAO1""","""Kinase from chicken homolog B"", ""MARK Kinase"", ""Prostate-derived sterile 20-like kinase 2"", ""Thousand and one amino acid protein kinase 1""","""TAOK1""","""KIAA1361"", ""MAP3K16"", ""MARKK""","""TAO kinase 1""","""DDIB"", ""KFC-B"", ""MAP3K16"", ""MARKK"", ""PSK-2"", ""PSK2"", ""TAO1"", ""hKFC-B"", ""hTAOK1"""
"""MST3""","""MST3""","""STK24""","""STK24""","""serine/threonine kinase 24 (STE20 homolog, yeast)""","""STK24""","""serine/threonine kinase 24""","""serine/threonine kinase 24 (Ste20, yeast homolog)""","""STE20-like kinase 3"", ""sterile 20-like kinase 3""","""MST-3"", ""MST3"", ""MST3B"", ""STK3"", ""STE20""","""Serine/threonine-protein kinase 24""","""Mammalian STE20-like protein kinase 3"", ""STE20-like kinase MST3""","""STK24""","""MST3"", ""STK3""","""serine/threonine kinase 24""","""HEL-S-95"", ""MST3"", ""MST3B"", ""STE20"", ""STK3"""
"""YSK1""","""YSK1""","""STK25""","""STK25""","""serine/threonine kinase 25 (STE20 homolog, yeast)""","""STK25""","""serine/threonine kinase 25""","""serine/threonine kinase 25 (Ste20, yeast homolog)""",,"""SOK1"", ""YSK1""","""Serine/threonine-protein kinase 25""","""Ste20-like kinase"", ""Sterile 20/oxidant stress-response kinase 1""","""STK25""","""SOK1"", ""YSK1""","""serine/threonine kinase 25""","""SOK1"", ""YSK1"""
